TRACT,FIPS,TOT,MALE,FEMALE,LESSHIGH,HIGHGRAD,SOMECOLL,COLLEGE,POSTCOLL,AGELOW65,AGEABO65,A3MALE,A3STDMALE,A3FEMALE,A3STDFEMALE,A3LESSHIGH,A3STDLESSHIGH,A3HIGHGRAD,A3STDHIGHGRAD,A3SOMECOLL,A3STDSOMECOLL,A3COLLEGE,A3STDCOLLEGE,A3POSTCOLL,A3STDPOSTCOLL,A3AGELOW65,A3STDAGELOW65,A3AGEABO65,A3STDAGEABO65
0074,421010074001,387,4.47028423773e-001,5.52971576227e-001,3.10077519380e-001,3.79844961240e-001,2.27390180879e-001,4.90956072351e-002,3.35917312661e-002,8.11369509044e-001,1.88630490956e-001,0.125,0.041666666666666664,0.875,0.04166666666666663,0.083333333333333329,0.083333333333333329,0.25,0.0,0.45833333333333337,0.041666666666666657,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.0,0.83333333333333337,0.0,0.16666666666666666,0.0
0074,421010074003,55,4.36363636364e-001,5.63636363636e-001,4.36363636364e-001,0.00000000000e+000,5.63636363636e-001,0.00000000000e+000,0.00000000000e+000,1.00000000000e+000,0.00000000000e+000,0.25,0.25,0.75,0.25,0.25,0.25,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.75,0.25
0074,421010074002,245,4.24489795918e-001,5.75510204082e-001,3.75510204082e-001,1.02040816327e-001,1.46938775510e-001,1.95918367347e-001,1.79591836735e-001,8.89795918367e-001,1.10204081633e-001,0.2857142857142857,0.14285714285714285,0.71428571428571419,0.14285714285714285,0.2857142857142857,0.0,0.5714285714285714,0.0,0.071428571428571425,0.071428571428571425,0.0,0.0,0.071428571428571425,0.071428571428571425,0.9285714285714286,0.071428571428571452,0.071428571428571425,0.071428571428571425
0074,421010074005,485,3.27835051546e-001,6.72164948454e-001,4.68041237113e-001,3.21649484536e-001,1.83505154639e-001,2.68041237113e-002,0.00000000000e+000,8.14432989691e-001,1.85567010309e-001,0.18956043956043955,0.11813186813186814,0.81043956043956045,0.11813186813186816,0.10714285714285714,0.10714285714285714,0.48351648351648346,0.054945054945054944,0.25824175824175821,0.027472527472527458,0.038461538461538464,0.038461538461538464,0.11263736263736264,0.041208791208791215,0.62637362637362637,0.087912087912087933,0.37362637362637363,0.087912087912087933
0074,421010074004,174,4.65517241379e-001,5.34482758621e-001,5.97701149425e-001,3.39080459770e-001,6.32183908046e-002,0.00000000000e+000,0.00000000000e+000,6.66666666667e-001,3.33333333333e-001,0.26666666666666666,0.066666666666666652,0.73333333333333339,0.066666666666666707,0.10000000000000001,0.10000000000000001,0.56666666666666665,0.23333333333333336,0.33333333333333331,0.33333333333333331,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0074,421010074007,291,3.05841924399e-001,6.94158075601e-001,4.08934707904e-001,4.39862542955e-001,9.96563573883e-002,0.00000000000e+000,5.15463917526e-002,6.32302405498e-001,3.67697594502e-001,0.27777777777777779,0.055555555555555552,0.72222222222222221,0.05555555555555558,0.22222222222222221,0.1111111111111111,0.33333333333333331,0.1111111111111111,0.33333333333333331,0.0,0.1111111111111111,0.0,0.0,0.0,0.88888888888888884,0.0,0.1111111111111111,0.0
0074,421010074006,444,4.75225225225e-001,5.24774774775e-001,2.68018018018e-001,4.81981981982e-001,1.46396396396e-001,6.53153153153e-002,3.82882882883e-002,8.69369369369e-001,1.30630630631e-001,0.19230769230769232,0.038461538461538464,0.80769230769230771,0.038461538461538436,0.076923076923076927,0.0,0.42307692307692313,0.038461538461538464,0.38461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.076923076923076927,0.076923076923076927,0.88461538461538458,0.038461538461538491,0.11538461538461539,0.038461538461538464
0074,421010074008,587,3.78194207836e-001,6.21805792164e-001,4.15672913118e-001,2.77683134583e-001,2.58943781942e-001,3.91822827939e-002,8.51788756388e-003,7.59795570698e-001,2.40204429302e-001,0.36764705882352944,0.13235294117647059,0.63235294117647056,0.13235294117647056,0.15966386554621848,0.01680672268907564,0.44327731092436973,0.086134453781512604,0.23109243697478993,0.054621848739495785,0.094537815126050417,0.023109243697478993,0.071428571428571425,0.071428571428571425,0.84033613445378141,0.016806722689075626,0.15966386554621848,0.01680672268907564
0078,421010078005,806,5.29776674938e-001,4.70223325062e-001,1.83622828784e-001,2.35732009926e-001,2.46898263027e-001,1.71215880893e-001,1.62531017370e-001,9.15632754342e-001,8.43672456576e-002,0.375,0.083333333333333315,0.625,0.08333333333333337,0.041666666666666664,0.041666666666666664,0.10416666666666666,0.020833333333333336,0.20833333333333334,0.0,0.35416666666666669,0.0625,0.29166666666666669,0.125,0.95833333333333337,0.0,0.041666666666666664,0.0
0078,421010078004,603,5.48922056385e-001,4.51077943615e-001,4.80928689884e-002,9.61857379768e-002,1.85737976783e-001,2.47097844113e-001,4.22885572139e-001,9.33665008292e-001,6.63349917081e-002,0.33333333333333331,0.1111111111111111,0.66666666666666674,0.1111111111111111,0.083333333333333329,0.027777777777777776,0.055555555555555552,0.0,0.083333333333333329,0.027777777777777776,0.25,0.02777777777777779,0.52777777777777779,0.02777777777777779,0.86111111111111116,0.027777777777777735,0.1388888888888889,0.027777777777777776
