TRACT,RESPNUM_,SEX,EDUCATION,AGE,Xcoord0,Ycoord0,Xcoord1,Ycoord1
42101007100,845,1,3,50,-75.2288752813041,39.940085673614085,-75.22661844237751,39.93700939920726
42101007800,910,2,4,59,-75.21821793805087,39.94743085666398,-75.21315810566078,39.94844880213019
42101007300,2857,1,1,64,-75.22294069734181,39.94299822247529,-75.22252849190164,39.942611107916946
42101007800,2267,2,5,56,-75.2174457038733,39.94801685373007,-75.21488934540156,39.94574717072578
42101007800,2409,1,1,75,-75.21624815141963,39.946556303251775,-75.21871878933084,39.947681335120535
42101007400,1627,1,2,33,-75.2125937178416,39.94395355643698,-75.21689462029084,39.93888186994844
42101007400,185,1,2,42,-75.21094788216492,39.94331152120479,-75.21454945002245,39.942433985000406
42101007200,339,1,1,66,-75.23238871548006,39.941335055925336,-75.2381513141786,39.94543378546116
42101007300,1554,2,2,63,-75.22003595413773,39.941533647657856,-75.2225241392971,39.94629020793807
42101007400,2022,2,3,35,-75.21091513319035,39.9451579398276,-75.21640387123144,39.938515763752555
42101007000,2408,2,2,60,-75.22038251890658,39.935345052339464,-75.22380595099735,39.93467709089919
42101007400,2449,2,2,48,-75.21122381206919,39.94275410792648,-75.21553431760947,39.94071512009154
42101007400,2964,1,1,81,-75.2105471570452,39.944019569493115,-75.21420291106885,39.93654326777164
42101007000,3169,1,2,57,-75.22023208033731,39.93617791097341,-75.21907099374205,39.93606017837605
42101007100,3305,1,3,31,-75.22155381776054,39.94020825610719,-75.22652601962629,39.942626231188925
42101007100,2965,2,1,44,-75.22569725581543,39.93666681330981,-75.22165680575434,39.93923838463196
42101007800,2831,2,4,48,-75.21395750032751,39.94648823160474,-75.21031523571251,39.94677265902013
42101006900,712,1,3,23,-75.21803910071797,39.933484660688364,-75.21953130705167,39.93234965327069
42101007700,2258,2,4,34,-75.20837465001826,39.94732816050246,-75.21211787403305,39.94852616691925
42101007100,1680,1,2,63,-75.22217696592422,39.93993061504698,-75.22874488818584,39.93909420204192
42101007100,209,1,1,47,-75.22627535854383,39.94230805067799,-75.22755648675958,39.93954891067008
42101007100,3614,1,3,37,-75.22458078411255,39.942729206599495,-75.22516888612684,39.93870374418719
42101007200,739,1,2,66,-75.23342298691989,39.94058858030404,-75.2392851963622,39.94571268170579
42101007100,1531,1,2,46,-75.2258081961217,39.940576103370006,-75.22799588424779,39.93588222194698
42101007000,3552,1,3,72,-75.21665024240279,39.935210565902686,-75.21709839220036,39.935750660063725
42101006900,252,1,3,31,-75.21954280905045,39.931877949899054,-75.21808307009806,39.93016343986873
42101007300,928,1,2,49,-75.22088185976139,39.943453674826486,-75.22363884262246,39.94411205237309
42101007400,3083,1,1,33,-75.21287663325863,39.9419538500443,-75.21999722889201,39.94057110788682
42101007100,126,1,2,59,-75.22089760333286,39.93882643907893,-75.23080364707835,39.94206800291509
42101007000,245,1,2,24,-75.22376353096239,39.93672280901604,-75.22258535852507,39.93758329129097
42101007000,1937,2,1,60,-75.22310251253197,39.9330278302725,-75.22132073281576,39.93551886855618
42101007800,2491,2,3,25,-75.21318007001489,39.9465562699711,-75.21173234933289,39.94669461245064
42101006900,2945,1,1,44,-75.2166478129767,39.93282722776428,-75.21859642517461,39.93032397926807
42101007300,754,1,4,46,-75.22418677146904,39.9453781674569,-75.22459710732801,39.94334140917189
42101006900,1674,1,3,46,-75.21753088888286,39.933154761727394,-75.2183074755898,39.92806033245232
42101007000,1686,1,4,73,-75.21924378945853,39.937188664015096,-75.21670258437257,39.93635455691742
42101006900,1526,1,3,54,-75.21830733741264,39.932990344298396,-75.21700316901301,39.9280851630111
42101007100,3158,1,3,57,-75.23032804089607,39.937657910635146,-75.22438116349463,39.93948749654532
42101007300,1535,2,3,30,-75.22107625734188,39.94197064235775,-75.22170040013917,39.942120524361826
42101007400,2606,1,3,46,-75.21639531432261,39.94297986217188,-75.2185050778279,39.94106841622079
42101007400,2303,2,1,42,-75.21291752573619,39.94228817159155,-75.21333051492354,39.94197629173823
42101007100,906,1,2,19,-75.22552929283195,39.94256950113634,-75.22486945831534,39.94323638245191
