TRACT,FIPS,TOT,MALE,FEMALE,LESSHIGH,HIGHGRAD,SOMECOLL,COLLEGE,POSTCOLL,AGELOW65,AGEABO65,A3MALE,A3STDMALE,A3FEMALE,A3STDFEMALE,A3LESSHIGH,A3STDLESSHIGH,A3HIGHGRAD,A3STDHIGHGRAD,A3SOMECOLL,A3STDSOMECOLL,A3COLLEGE,A3STDCOLLEGE,A3POSTCOLL,A3STDPOSTCOLL,A3AGELOW65,A3STDAGELOW65,A3AGEABO65,A3STDAGEABO65
0070,421010070004,457,4.31072210066e-001,5.68927789934e-001,3.04157549234e-001,5.29540481400e-001,1.66301969365e-001,0.00000000000e+000,0.00000000000e+000,8.20568927790e-001,1.79431072210e-001,0.25,0.0,0.75,0.0,0.09375,0.043310290347676035,0.3125,0.08662058069535207,0.375,0.08662058069535207,0.21875,0.043310290347676035,0.0,0.0,0.9375,0.0,0.0625,0.0
0070,421010070006,435,2.91954022989e-001,7.08045977011e-001,4.98850574713e-001,2.68965517241e-001,1.95402298851e-001,1.60919540230e-002,2.06896551724e-002,8.18390804598e-001,1.81609195402e-001,0.083333333333333329,0.038498035864600919,0.91666666666666663,0.038498035864600932,0.1388888888888889,0.038498035864600919,0.52777777777777779,0.038498035864600932,0.33333333333333337,0.076996071729201837,0.0,0.0,0.0,0.0,0.41666666666666663,0.038498035864600898,0.58333333333333337,0.038498035864600932
0070,421010070001,633,4.26540284360e-001,5.73459715640e-001,2.96998420221e-001,3.69668246445e-001,2.81200631912e-001,4.42338072670e-002,7.89889415482e-003,8.15165876777e-001,1.84834123223e-001,0.0,0.0,1.0,0.0,0.28000000000000003,0.0,0.22000000000000003,0.083155757467538005,0.5,0.083155757467538019,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0072,421010072005,387,6.04651162791e-001,3.95348837209e-001,4.23772609819e-001,3.48837209302e-001,1.55038759690e-001,5.16795865633e-002,2.06718346253e-002,8.94056847545e-001,1.05943152455e-001,0.3571428571428571,0.098994949366116636,0.64285714285714279,0.098994949366116677,0.0,0.0,0.3571428571428571,0.098994949366116636,0.0,0.0,0.64285714285714279,0.098994949366116677,0.0,0.0,1.0,0.0,0.0,0.0
0070,421010070003,555,4.68468468468e-001,5.31531531532e-001,3.62162162162e-001,3.90990990991e-001,1.96396396396e-001,3.78378378378e-002,1.26126126126e-002,9.35135135135e-001,6.48648648649e-002,0.22727272727272727,0.0,0.77272727272727271,0.0,0.090909090909090912,0.0,0.77272727272727271,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0069,421010069002,478,4.03765690377e-001,5.96234309623e-001,3.45188284519e-001,4.41422594142e-001,1.98744769874e-001,1.46443514644e-002,0.00000000000e+000,8.95397489540e-001,1.04602510460e-001,0.26666666666666666,0.0,0.73333333333333328,0.0,0.16666666666666669,0.046197643037521108,0.56666666666666665,0.23098821518760546,0.26666666666666666,0.18479057215008443,0.0,0.0,0.0,0.0,0.76666666666666661,0.046197643037521163,0.23333333333333334,0.046197643037521087
0077,421010077001,467,6.18843683084e-001,3.81156316916e-001,8.13704496788e-002,2.37687366167e-001,1.69164882227e-001,3.19057815846e-001,1.92719486081e-001,9.87152034261e-001,1.28479657388e-002,0.66666666666666663,0.0,0.33333333333333331,0.0,0.083333333333333329,0.0,0.083333333333333329,0.0,0.16666666666666666,0.0,0.54166666666666674,0.057747053796901406,0.125,0.057747053796901378,0.75,0.0,0.25,0.0
0077,421010077002,339,4.86725663717e-001,5.13274336283e-001,2.71386430678e-001,2.94985250737e-001,2.30088495575e-001,1.71091445428e-001,3.24483775811e-002,8.02359882006e-001,1.97640117994e-001,0.42857142857142855,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.21428571428571427,0.098994949366116636,0.21428571428571427,0.098994949366116636,1.0,0.0,0.0,0.0
0069,421010069001,524,1.88931297710e-001,8.11068702290e-001,3.37786259542e-001,4.19847328244e-001,2.42366412214e-001,0.00000000000e+000,0.00000000000e+000,9.56106870229e-001,4.38931297710e-002,0.0,0.0,1.0,0.0,0.18421052631578946,0.036471823450674554,0.18421052631578946,0.10941547035202365,0.63157894736842102,0.14588729380269821,0.0,0.0,0.0,0.0,0.97368421052631571,0.036471823450674595,0.026315789473684209,0.036471823450674554
0070,421010070002,272,3.01470588235e-001,6.98529411765e-001,3.89705882353e-001,4.63235294118e-001,1.47058823529e-001,0.00000000000e+000,0.00000000000e+000,9.66911764706e-001,3.30882352941e-002,0.0,0.0,1.0,0.0,0.18181818181818182,0.0,0.40909090909090906,0.062996785960256027,0.0,0.0,0.31818181818181818,0.062996785960256069,0.090909090909090912,0.0,0.40909090909090906,0.062996785960256027,0.59090909090909083,0.062996785960256069
0073,421010073004,317,4.79495268139e-001,5.20504731861e-001,4.60567823344e-001,2.93375394322e-001,2.23974763407e-001,2.20820189274e-002,0.00000000000e+000,8.26498422713e-001,1.73501577287e-001,0.34999999999999998,0.069296464556281676,0.64999999999999991,0.069296464556281634,0.34999999999999998,0.20788939366884496,0.55000000000000004,0.2078893936688449,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.59999999999999998,0.13859292911256327,0.40000000000000002,0.13859292911256332
0073,421010073005,323,3.77708978328e-001,6.22291021672e-001,4.70588235294e-001,3.12693498452e-001,1.64086687307e-001,2.47678018576e-002,2.78637770898e-002,8.26625386997e-001,1.73374613003e-001,0.5,0.13859292911256327,0.5,0.13859292911256327,0.050000000000000003,0.069296464556281662,0.0,0.0,0.5,0.13859292911256327,0.45000000000000001,0.069296464556281634,0.0,0.0,1.0,0.0,0.0,0.0
0073,421010073001,441,4.39909297052e-001,5.60090702948e-001,3.26530612245e-001,3.74149659864e-001,2.24489795918e-001,6.12244897959e-002,1.36054421769e-002,7.82312925170e-001,2.17687074830e-001,0.21428571428571427,0.098994949366116636,0.7857142857142857,0.098994949366116594,0.071428571428571425,0.0,0.6785714285714286,0.049497474683058297,0.071428571428571425,0.098994949366116636,0.035714285714285712,0.049497474683058318,0.14285714285714285,0.0,0.8214285714285714,0.049497474683058297,0.17857142857142855,0.049497474683058318
